objid,redshift,plate,mjd,fiberid,class
1237648721768612034,0.095514,287,52023,391,GALAXY
1237648721231806703,0.116834,287,52023,392,GALAXY
1237648721231806730,0.035134,287,52023,394,GALAXY
1237648721759895858,0.12729,275,51910,591,GALAXY
1237648722296766620,0.105929,275,51910,589,GALAXY
1237648722296766673,0.096176,275,51910,587,GALAXY
1237648721222565979,0.127449,275,51910,223,GALAXY
1237648720685695095,0.160209,275,51910,222,GALAXY
1237648720685760591,0.085063,275,51910,218,GALAXY
1237648720685695187,0.130068,275,51910,193,GALAXY
1237648721222631650,0.178588,275,51910,191,GALAXY
1237648720685760584,0.084847,275,51910,189,GALAXY
1237648720685695182,0.085836,275,51910,183,GALAXY
1237648721222697176,0.076914,275,51910,176,GALAXY
1237648721222762676,0.040162,275,51910,168,GALAXY
1237648720685891767,0.206278,275,51910,164,GALAXY
1237648721222893660,0.12812,275,51910,160,GALAXY
1237648721222893601,0.0388,275,51910,153,GALAXY
1237648721222893673,0.084792,275,51910,145,GALAXY
1237648720148889820,0.086217,275,51910,129,GALAXY
1237648721222959300,0.167724,275,51910,108,GALAXY
1237648720686088392,0.106159,275,51910,104,GALAXY
1237648720686088215,0.067479,275,51910,103,GALAXY
1237648720685957322,0.076622,275,51910,100,GALAXY
1237648720149086374,0.051514,275,51910,81,GALAXY
1237648720149152097,0.225348,275,51910,50,GALAXY
1237648720149217496,0.026147,275,51910,41,GALAXY
1237648720686153881,0.108562,275,51910,12,GALAXY
1237648721756422344,0.09648,271,51883,479,GALAXY
1237648721756422373,0.116788,271,51883,474,GALAXY
1237648721756356796,0.084544,271,51883,464,GALAXY
1237648721756422357,0.098089,271,51883,462,GALAXY
1237648722293227679,0.111522,271,51883,456,GALAXY
1237648722830098588,0.128729,271,51883,455,GALAXY
1237648721756225804,0.096783,271,51883,424,GALAXY
1237648722293096640,0.079281,271,51883,420,GALAXY
1237648722293096585,0.079356,271,51883,416,GALAXY
1237648722293096596,0.079297,271,51883,414,GALAXY
1237648721219420321,0.060167,271,51883,387,GALAXY
1237648721756225831,0.094626,271,51883,382,GALAXY
1237648720146202849,0.093892,272,51941,241,GALAXY
1237648720682614947,0.12598,271,51883,240,GALAXY
1237648721760551046,0.071459,276,51909,544,GALAXY
1237648722834227236,0.157295,276,51909,538,GALAXY
1237648722834227385,0.076783,276,51909,527,GALAXY
1237648722834161773,0.154708,276,51909,523,GALAXY
1237648722297290882,0.105166,276,51909,521,GALAXY
1237648721760419967,0.047978,276,51909,519,GALAXY
1237648721760420006,0.079894,276,51909,514,GALAXY
1237648722297290903,0.042671,276,51909,513,GALAXY
1237648721760419955,0.047749,276,51909,511,GALAXY
1237648721760354412,0.083099,276,51909,495,GALAXY
1237648721760289003,0.107481,276,51909,493,GALAXY
1237648721760223390,0.095057,276,51909,483,GALAXY
1237648721223286964,0.074122,276,51909,239,GALAXY
1237648721223286976,0.094134,276,51909,235,GALAXY
1237648720686416141,0.121662,276,51909,233,GALAXY
1237648720149545193,0.128581,276,51909,220,GALAXY
1237648720149610796,0.084705,276,51909,216,GALAXY
1237648720149610779,0.084343,276,51909,214,GALAXY
1237648720149544996,0.048573,276,51909,204,GALAXY
1237648720149545246,0.223468,276,51909,203,GALAXY
1237648721223352379,0.09441,276,51909,194,GALAXY
1237648720686481532,0.073324,276,51909,190,GALAXY
1237648720686415913,0.018466,276,51909,183,GALAXY
1237648720686481588,0.141522,276,51909,182,GALAXY
1237648721223418083,0.109192,276,51909,179,GALAXY
1237648721223352487,0.109978,276,51909,174,GALAXY
1237648720686547139,0.018496,276,51909,169,GALAXY
1237648721223483532,0.147644,276,51909,152,GALAXY
1237648721223549042,0.135286,276,51909,151,GALAXY
1237649962454941942,0.215931,459,51924,633,GALAXY
1237649962454941799,0.017571,459,51924,634,GALAXY
1237649962454876358,0.123862,459,51924,636,GALAXY
1237649962455007398,0.115191,459,51924,637,GALAXY
1237648721223549054,0.108132,276,51909,147,GALAXY
1237648720686612674,0.072409,276,51909,144,GALAXY
1237648720149741777,0.126585,276,51909,125,GALAXY
1237648721223614649,0.107427,276,51909,117,GALAXY
1237648721223614628,0.219764,276,51909,113,GALAXY
1237648720149807346,0.074336,276,51909,98,GALAXY
1237648720149872820,0.0747,276,51909,91,GALAXY
1237648720686809221,0.108564,276,51909,64,GALAXY
1237648721760092317,0.040194,275,51910,638,GALAXY
1237648721759961421,0.040493,275,51910,632,GALAXY
1237648722296832101,0.050269,275,51910,631,GALAXY
1237648721759961394,0.125546,275,51910,625,GALAXY
1237648721223090396,0.072567,275,51910,73,GALAXY
1237648721223221414,0.165097,275,51910,36,GALAXY
1237648720686350538,0.153384,275,51910,29,GALAXY
1237648721223221391,0.165568,275,51910,25,GALAXY
1237648721223221395,0.147811,275,51910,21,GALAXY
1237648720149348494,0.107899,275,51910,19,GALAXY
1237648720149348588,0.104561,275,51910,7,GALAXY
1237648720149348587,0.106966,275,51910,1,GALAXY
1237648704577667242,0.117309,288,52000,475,GALAXY
1237648704577667254,0.116945,288,52000,474,GALAXY
1237648704577667370,0.06808,288,52000,471,GALAXY
1237648704577667258,0.142073,288,52000,470,GALAXY
1237648721782767826,0.100147,303,51615,591,GALAXY
1237648704590774523,0.1002,303,51615,592,GALAXY
1237648721245896899,0.150745,303,51615,600,GALAXY
1237650369406632085,0.120412,329,52056,259,GALAXY
1237650369406632014,0.169822,329,52056,260,GALAXY
1237650369943437467,0.130547,329,52056,261,GALAXY
1237648722847990030,0.082033,293,51689,570,GALAXY
1237648722847990041,0.082382,293,51689,567,GALAXY
1237648705655996557,0.081553,293,51689,565,GALAXY
1237648721773658309,0.145453,293,51689,430,GALAXY
1237648722847662242,0.09835,293,51689,419,GALAXY
1237648722847596695,0.081269,293,51689,416,GALAXY
1237648705655603395,0.187158,293,51689,410,GALAXY
1237648705655603387,0.162982,293,51689,406,GALAXY
1237648704045318156,0.046844,293,51689,113,GALAXY
1237648721237311614,0.082664,293,51689,112,GALAXY
1237648720700506308,0.18709,293,51689,108,GALAXY
1237648702971576471,0.082718,293,51689,94,GALAXY
1237648720163438797,0.046601,293,51689,90,GALAXY
